キャラ	EXスキル名	EXスキル詳細
ウタハ	雷ちゃん、召喚	ターレット召喚、ターレットはウタハの攻撃力の154%分の攻撃力を持ちます(30秒間)
エイミ（水着）	頼もしい支援	円形範囲内の味方6人を指定した位置に移動した後、治癒力分の197%分のシールド効果を発動。攻撃力を12.6%増加(30秒間)
アカリ（正月）	少しお借りしました！	給食推進車両に搭乗したアカリが登場。\n給食推進車両はアカリのHPの52.5%分の値が追加されたHPを持ちます(30秒間)\n(給食推進車両は通常攻撃をしません)\n(タクティカルサポートの搭乗物は重複して登場することはできません)\n\nノーマルスキル：特別な榴弾、心を込めて！\n給食推進車両に登場したアカリは13秒毎に、スキル「特別な榴弾、心を込めて！」を発動し、円形範囲内の敵に対して攻撃力の553%分のダメージ\n\nパッシブスキル：今日はそういう気分ですから？\n給食推進車両の搭乗中、自身を中心とした円形範囲内の自身を除く味方の攻撃速度を39%増加、神秘特効を31.5%加算(範囲内にいる間だけ効果を維持)
ヨシミ（バンド）	爆発クライマックス	攻撃力と攻撃速度を112%増加(50秒間)\nさらに「シュガーラッシュ」を5個付与(最大5個まで)\n「シュガーラッシュ」は10秒毎に1個ずつ解除
カズサ（バンド）	歴史的一小節	自身を中心とした円形範囲内の味方の攻撃速度を35.9%増加\nさらに、自身に「シュガーラッシュ」を2個付与(40秒間)\n(最大2個まで)
アイリ（バンド）	幸せのメロディ	爆発特効を182%加算、「シュガーラッシュ」を付与(30秒間)
モモイ（メイド）	バーチャル・メイドウェポン！	スキル発動後すぐにリロード\n通常攻撃を攻撃力の56%分の追加ダメージを与える攻撃に変更、攻撃速度を85.1%増加、通常攻撃のディレイを100回無視\n(リロードを1回行うまで有効)
ミドリ（メイド）	バーチャル・メイドショット	敵1人に対して、攻撃力の1738%分のダメージ
セリカ（水着）	怒りの波	円形範囲内の敵に対して攻撃力の1210%分のダメージ
フブキ（水着）	頭冷やそっか	2つの円形範囲内の敵に対して、\n小型の円：攻撃力の1102%分のダメージ\n中型の円：攻撃力の231%分のダメージ\n大型の円：攻撃力の189%分のダメージ\n（これらの攻撃は敵のシールドを貫通）
カンナ（水着）	水上安全、確保！	敵1人に対して、攻撃力の927%分のダメージ/防御力を47.8%減少（20秒間）
キリノ（水着）	本官が見守っています！	遮蔽物を設置\n円形範囲内の味方の攻撃力を26.7%増加(45秒間)\n(範囲内にいる間だけ効果を維持)\n遮蔽物はキリノ（水着）のHPの56.4%分の値が追加されたHPを持ちます。
モエ（水着）	弾道ミサイル砲撃	円形範囲の指定した敵に対して攻撃力の1892%分のダメージ、\nその他の敵に対して攻撃力の378%分のダメージ
シロコ＊テラー	火力強化	ドローンを召喚(40秒間)\nドローンが維持される間、通常攻撃は攻撃力の120%分のダメージを与えるように変更\n会心値を67.3%、会心ダメージ率を134%増加(40秒間)\n自身に対して最大HPの20%分ダメージ\n(このスキルでシロコ＊テラーは退却しません)
ホシノ（臨戦）	集中突破	省略
ホシノ（臨戦）	防御姿勢強化	指定した位置に移動した後、遮蔽物の役割をする盾を持ち上げて遮蔽状態を付与、さらに攻撃力を156%増加(40秒間)\n遮蔽物は、ホシノ(臨戦)のHP分の69.1%値が追加されたHPを持ちます。\n(遮蔽物の防御タイプはホシノ(臨戦)と同じです)
アツコ（水着）	夏の思い出	味方1人に対して、治癒力の290%分の回復
サオリ（水着）	ミュージック、スタート！	扇形範囲内の指定した敵に対して、攻撃力の1083%分のダメージ\n攻撃力の577%分の悪寒持続ダメージを付与(40秒間)、\nその他の敵に対して攻撃力の159%分のダメージ
ヒヨリ（水着）	狙うは1等賞！	銃弾を5発発射。各銃弾は直線上に飛び、最初に命中した敵1人に対して、攻撃力の1115%分のダメージ(合計5発分)\n5発の銃弾を同じ敵に全て命中した時、攻撃力の308%分の追加ダメージ\nEX充電ゲージが1つ以上の場合、EXスキルをすぐにドローした後、EX充電ゲージを1つ差し引きます。
マリナ（チーパオ）	う、うわああっ！？
トモエ（チーパオ）	コロブチカ	円形範囲内の味方、および敵を最大5人まで指定した位置に移動させた後、対象によって効果を与えます\n味方：治癒力分のシールド効果を発動(25秒)、「チラシ」を1個一定時間付与(35秒)(最大1個まで)\n敵：防御力を24.7%秒減少(25秒間)
キサキ	詔令：格物致知
レイジョ	腿法：破蹴手榴弾	敵1人に対して、攻撃力116分のダメージ\nさらに持続ダメージ(悪寒、中毒)強化効果を付与(15秒間)\n持続ダメージ(悪寒、中毒)強化効果状態の敵に持続ダメージ(悪寒、中毒)を付与した時、下記の内容に強化される。\n悪寒：悪寒持続ダメージが発生する周期を31.8%減少\n中毒：対象に付与した中毒効果の周期ごとのダメージに対して、2秒毎に53%追加ダメージ(最大6回まで)\n
アイドルマリー	溢れるハート	自身を除き味方1人に対して治癒力の265%分を回復し、自身に治癒力の121%の回復\nHPを終えた超過回復量の100%を追加HPに転換\n(追加HPの最大値は回復した対象の最大HP50%まで転換)\n(追加HPは1秒毎に、超過回復量を含む自身が与えた全体回復量の5%ずつ減少)\n「ファンサービス」を1個獲得
アイドルサクラコ	ギャップ萌え	自身とスペシャル生徒の会心値を24.2%増加、会心ダメージ率を45%増加(17秒間)
アイドルミネ	スーパーアイドルランディング	指定した位置に移動した後、攻撃速度を24.7%増加(30秒間)\n「ペンライト」を5個獲得(「ペンライト」は最大30個まで重複)\n舞台装置を召喚し自身を除く味方3人を舞台装置の位置に移動させ、舞台装置に到着した対象に対して、攻撃速度24.7%増加(30秒間)
サツキ	つよくな～るつよくな～る	EXスキルの使用時、防御貫通値を696増加(7秒間)\n敵1人に対して、攻撃力の1653%分のダメージ\n追加で最大3コストを消耗して、1コストあたりのダメージが35%増加します。\n(コスト増減スキルの効果は基本コストを基準として計算します)
チアキ	本当ですか？	敵に1人に対して、攻撃力の2772%分のダメージ\n(このダメージにおいては、会心が発動しません)
パジャマユウカ	ペロロ様危機一髪！	敵1人に対して、攻撃力の887%分のダメージ\n防御力を23.3%減少(25秒間)\n対象が軽装備の場合、防御力を46.7%減少(25秒間)
パジャマノア	消灯後はお静かに	敵1人に対して、攻撃力の1442%分のダメージ\nさらに弱点把握状態を付与(20秒間)\n弱点把握状態の敵への攻撃時に、ノア(パジャマ)の攻撃力の33.4%分の追加ダメージ\n(このダメージにおいては、会心が発動しません)\n(最大240回まで適用されます)
セイア	まどろみの庭	自身を除く味方1人のスキルコストを最大で50%減少(EXスキルの使用2回分)\n(ただし減少値は小数点以下切り捨て)\n自身のコスト回復力を718増加(15秒間)
制服アスナ	こっち、こっち！	自身とスペシャル生徒の攻撃力を63.5%増加(19秒間)
制服ネル	かかって来いよ	自身と敵1人を対戦状態に変更(70秒間)\n対戦相手への攻撃時、自身の与えるダメージを0.2倍加算\nEXスキルをすぐに1回ドロー\n対戦状態中は「怪我しても知らねえからな」にスキルが変更されます。
制服ネル*	怪我しても知らねえからな
リオ	ビッグシスター	EXスキルをすぐにドロー後、味方1人のEXスキルカードを複製(複製したカードの使用は1回まで)\n対象の攻撃力51.4%増加(20秒間)\n(複製したカードは、 対象のEXスキルのカード状態に従います)\n(複製したカードのコストは、対象のEXスキルの基本コストから1減少した値を持ちます)\n(最小0)
制服カリン	緊急対応	敵1人に対して攻撃力の991%分のダメージ(対象の現在のHPに比例してダメージが1～3倍に変更)\n(対象のHPが少ないほどダメージが大きくなります)\nEXスキルの使用時、対象のHPが20%以下の場合、\n自身の会心ダメージ率を40.2%増加、攻撃力を21.1%増加、防御貫通値を751増加(30秒間)
ウミカ	お祭り開始です！	花火発射台を召喚（50秒間）（最大5個まで）/\n花火発射台はウミカの最大HPの<?1>分の値が追加されたHPを持ちます。
ツバキ（ガイド）	修行部長のガイド	円形範囲内の味方の<b:ATK>を<?1>増加（45秒間）（範囲内にいる間だけ効果を維持）
キララ	ゲヘナのセレブリティー！	<s:FormChange>を攻撃力の<?1>分の追加ダメージを与える攻撃に変更、<b:ATK>を<?2>増加（40秒間）/\n発動後すぐにリロード
マリー（アイドル）	溢れるハート	自身を除き味方1人に対して治癒力の<?1>分を回復し、自身に治癒力の<?2>分の回復\nHPを超えた超過回復量の100%を追加HPに転換\n（追加HPの最大値は回復した対象の最大HP50%まで転換）\n（追加HPは1秒毎に、超過回復量を含む自身が与えた全体回復量の5%ずつ減少）/\n<s:CH0273_ExtraPassive>を1個獲得
サクラコ（アイドル）	ギャップ萌え	自身とスペシャル生徒の<b:CriticalChance>を<?1>増加、<b:CriticalDamage>率を<?2>増加（17秒間）
ミネ（アイドル）	スーパーアイドルランディング	指定した位置に移動した後、<b:AttackSpeed>を<?1>増加（30秒間）/\n<s:CH0275_Public>を5個獲得（<s:CH0275_Public>は最大30個まで重複）/\n舞台装置を召喚し自身を除く味方3人を舞台装置の位置に移動させ、舞台装置に到着した対象に対して、<b:AttackSpeed>を<?2>増加（30秒間）
ユウカ（パジャマ）	ペロロ様危機一髪！	敵1人に対して、攻撃力の<?1>分のダメージ/\n<d:DEF>を<?2>減少（25秒間）/\n対象が軽装備の場合、<d:DEF>を<?3>減少（25秒間）
ノア（パジャマ）	消灯後はお静かに	敵1人に対して、攻撃力の<?1>分のダメージ/\nさらに<d:DamageByHit_Damaged>を付与（20秒間）\n<d:DamageByHit_Damaged>の敵への攻撃時に、ノア（パジャマ）の攻撃力の<?2>分の追加ダメージ\n（このダメージにおいては、会心が発動しません）\n（最大240発分まで適用されます）
アスナ（制服）	こっち、こっち！	自身とスペシャル生徒の<b:ATK>を<?1>増加（19秒間）
カリン（制服）	緊急対応	敵1人に対して攻撃力の<?1>分のダメージ（対象の現在のHPに比例してダメージが1～3倍に変更）（対象のHPが少ないほどダメージが大きくなります）/\nEXスキルの使用時、対象のHPが20%以下の場合、自身の<b:CriticalDamage>率を<?2>増加、<b:ATK>を<?3>増加、<b:Penetration>を<?4>増加（30秒間）
ネル（制服）	かかって来いよ	自身と敵1人を<s:CH0280_Ex_01>に変更（70秒間）\n<s:CH0280_Ex_01>の敵に攻撃時、自身の与えるダメージを0.2倍加算/\nEXスキルをすぐに1回ドロー/\n<s:CH0280_Ex_01>中は「怪我しても知らねえからな」にスキルが変更されます。
マキ（キャンプ）	あとちょっと……！	敵1人に対して攻撃力の<?1>分のダメージ\n（この攻撃は敵の<b:Shield>を貫通）
セナ（私服）	救急対応	円形範囲内の味方に対して、治癒力の<?1>分の<b:DotHeal>を付与（32秒間）
ジュリ（アルバイト）	最後の仕上げです！	敵1人に対して、攻撃力の<?1>分のダメージ/\n攻撃力の<?2>分の<d:Chill>持続ダメージを付与（16秒間）\n<c:Fear>を付与（<?3>間）
イズミ（正月）	シェアたこ焼き！	円形範囲内の味方に対して、治癒力の<?1>分の回復
レイ	ミレニアムの4番バッター！	円形範囲内の敵に対して、攻撃力の<?1>分のダメージ
スミレ（アルバイト）	キャッチ・アンド・ピッチ	敵1人に対して、攻撃力の<?1>分のダメージ/\nさらに<d:DamageByHit_Damaged>を付与（20秒間）\n<d:DamageByHit_Damaged>の敵への攻撃時に、スミレ（アルバイト）の攻撃力の<?2>分の追加ダメージ\n（このダメージにおいては、会心が発動しません）\n（最大240発分まで適用されます）
サオリ（ドレス）	目撃者排除	円形範囲内の敵に対して、攻撃力の<?1>分のダメージ
ヒカリ	にゅ～きょ～の時間	自身を除く味方1人に対して、<b:EnhanceSonicRate>を<?1>加算（32秒間）/\n対象がEXスキルのコストを追加で消耗可能な場合、EXスキルの追加消耗コストを<?2>減少（EXスキルの使用1回分）
ノゾミ	ブースターオン！	直線範囲内の指定した敵に対して、攻撃力の<?1>分のダメージ、その他の敵に対して、攻撃力の<?2>分のダメージ/\n追加で最大2コストを消耗して、1コストあたりのダメージが25%増加します。/\n（コスト増減スキルの効果は基本コストを基準として計算します）
アオバ	しゅ、修理に行かなきゃ……！	指定した位置に移動しながらぶつかった敵に攻撃力の<?1>分のダメージを与え<kb:1>ノックバック/\n移動後、自身の<b:ATK>を<?2>増加、<b:AttackSpeed>を<?3>増加（22秒間）
フィーナ（ガイド）	お仕事モードデス！	敵1人に対して、攻撃力の<?1>分のダメージ/\n<s:CH0257_Public>保有時、ダメージを0.15倍加算/\n（対象の現在のHPに比例してダメージが1～1.5倍に変更）（対象のHPが少ないほどダメージが大きくなります）
ナグサ	桜花爛漫	敵1人に対して、攻撃力の<?1>分のダメージ（対象の現在のHPに比例してダメージが1～3倍に変更）\n（対象の敵HPが多ければ多いほどダメージが大きくなります） 
ニヤ	なぁんにも、してませんよ？	円形範囲内の敵に対して、<d:DEF>を<?1>減少（26秒間）/\n円形範囲内の敵の数によって、範囲内の敵に対して、\n3人以下：攻撃力の<?2>分のダメージ\n4～6人：攻撃力の<?3>分のダメージ\n7人以上：攻撃力の<?4>分のダメージ
ナツ（バンド）	偉大なる響き	自身を中心とした円形範囲内の味方に対して2秒毎に、治癒力の<?1>分の回復（24秒間）/\nさらに自身に<s:CH0220_Public>を2個付与（25秒間）（最大2個まで）
ユカリ（水着）	夏の海はでんじゃらす！ですの！	円形範囲内の敵に対して、攻撃力の<?1>分のダメージ
レンゲ（水着）	夏の海の射撃術	敵1人に対して、攻撃力の<?1>分のダメージ/\n<s:CH0302_Public>を1個以上保有している場合、<s:CH0302_Public>を1個消耗し攻撃力の<?2>分の追加ダメージ
キキョウ（水着）	夏の海の睡眠法	キキョウ（水着）が寝そべっているハンモックが登場。ハンモックはキキョウ（水着）の最大HPの45.1%分の値が追加されたHPを持ちます。（30秒間）
セイア（水着）	浪漫きらめく浜辺	自身を除く味方1人に対して、<b:EnhanceExDamageRate>を<?1>加算（25秒間）
ハスミ（水着）	必中のピアッシングショット	扇形範囲内の敵に対して、攻撃力の<?1>分のダメージ
イチカ（水着）	隠されし爪	敵1人の<d:CriticalDamageRateResist>率を<?1>減少（30秒間）/\nさらに攻撃力の<?2>分のダメージ/\n指定した敵に対して<d:ConcentratedTarget>（30秒間）
ナギサ（水着）	Teatime in Wartime	味方1人に対して、<b:CostOverload>状態を付与（26秒間）/\n<b:CriticalDamage>率を<?1>増加（26秒間）/\n（<b:CostOverload>：生徒が編成可能な最大数まで編成され、誰も退却していない場合、保有コストを最大5コストまで超過して消費可能、超過した分はマイナスのコストとして差し引かれます）
ミカ（水着）	あなたとの思い出	
エリ	閃光のアルカナ	敵1人に対して、攻撃力の<?1>分のダメージ\n<s:CH0304_ExtraPassive>を2個保有時、この攻撃を強化してダメージを0.5倍加算。その後、自身の<s:CH0304_ExtraPassive>は初期化されます。
カノエ	おいしいよぉ……	治癒力の<?1>分の<b:DotHeal>を付与（20秒間）\nさらに弱体状態を1つ解除
ミサキ（水着）	虚しくないもの	円形範囲内の敵に対して、対象の弱体状態の個数によって攻撃力分のダメージ\n1個以下：攻撃力の<?1>分のダメージ\n2個～3個：攻撃力の<?2>分のダメージ\n4個以上：攻撃力の<?3>分のダメージ
ミヨ	これで終わり……！	自身を除く最も近い味方3人の<b:AttackSpeed>を<?1>増加（18秒間）/\n自身の<b:AttackSpeed>を<?2>増加（18秒間）/\n<s:CH0317_ExtraPassive>を2個保有時、<s:CH0317_ExtraPassive>を全て消耗して、このスキルを強化して、与える<b:AttackSpeed>増加効果を0.3倍加算
フユ	弾丸のお届け	敵1人に対して、<d:DEF>を<?1>減少（22秒間）/\n攻撃力の<?2>分のダメージ
リツ	一緒に食べよっ！	味方1人の<b:AttackSpeed>を<?1>増加（24秒間）
レイサ（マジカル）	テルミットピンク、参上！	レイサ（マジカル）がテルミットピンクに変身して登場。テルミットピンクはレイサ（マジカル）の最大HPの<?1>、攻撃力の<?2>、治癒力の<?3>分の値が追加されたHP、攻撃力、治癒力を持ちます。（22秒間）
スズミ（マジカル）	基礎魔法、です！	編成したストライカーの味方および、編成した味方の召喚物の<b:ATK>を<?1>増加、<b:EnhanceBasicsDamageRate>を<?2>加算（41秒間）/\n（<b:EnhanceBasicsDamageRate>：与える通常攻撃、ノーマルスキル、サブスキルのダメージ増加）
ラブ	それなら、やっぱり！	
スバル	残業手当	すぐにリロードした後、セレクターをフルオート射撃に切り替えて射撃間隔が大幅に短くなり、<s:FormChange>を攻撃力の<?1>分のダメージを4回与える攻撃に変更、さらに<b:ATK>を<?2>増加（10秒間）/\n<s:CH0309_Public>を3個保有時、<s:CH0309_Public>を全て消耗して、今回のフルオート射撃をさらに強化して通常攻撃を確定会心に変更
タカネ	評論家の一筆	自身を除く味方1人に対して、治癒力の<?1>分の回復/\n自身に治癒力の<?2>分の回復/\n<s:CH0229_Ex>を付与(30秒間)
ヤクモ	出版、重版、流通	円形範囲内の敵5人を指定した位置に移動させた後、<d:MoveSpeed>を<?1>減少（13秒間）、 効果が適用された敵1人当たり、<s:CH0228_Ex>を1個獲得（最大4個まで）/\nさらに<?2>の確率で<c:Stunned>を付与（<?3>間）
ツクヨ（ドレス）	忍者は、退かないもの、です！	指定した位置に移動した後、自身に遮蔽物を生成および遮蔽状態を付与（40秒間）/\n遮蔽物はツクヨ（ドレス）の最大HPの<?1>分の値が追加されたHPを持ちます。（遮蔽物の防御タイプはツクヨ（ドレス）と同じです）/\n<b:AttackSpeed>を<?2>増加（30秒間）
ミチル（ドレス）	少女忍法帖、ミチうにゃああっ！	味方1人に対して、治癒力の<?1>分の回復
リオ（臨戦）	電脳の力	敵1人に対して、攻撃力の<?1>分のダメージ
トキ（臨戦）	スペシャルウェポン：デュアルエネルギーピストル	指定した対象が敵の場合は攻撃力の<?1>分のダメージおよび<c:Stunned>を付与（<?2>間）、味方の場合は治癒力の<?3>分の回復および弱体状態を1つ解除/\n<s:EnergyBatteryHalf>のチャージ段階によって<c:Stunned>を<?4>増加、弱体状態の解除個数が1つ増加/\n発射後、<s:EnergyBatteryHalf>のチャージ段階は初期化されます。
ヒマリ（臨戦）	屋外用の車椅子ですから	ヒマリ（臨戦）が屋外用車椅子に乗って登場。屋外用車椅子はヒマリ（臨戦）の最大HPの<?1>分の値が追加されたHPを持ちます。（30秒間）/\n指定した対象を中心とした円形範囲内の味方に対して、一定時間毎に治癒力の<?2>分の回復（最大5回）（3秒間）\n（タクティカルサポートの搭乗物は重複して登場することはできません）
アリス（臨戦）	光の勇者	
ケイ	ここにいる私	増幅装置を設置して円形範囲内の味方の<b:ATK>を<?1>増加、<b:EnhanceMysticRate>を<?2>加算（25秒間）（範囲内にいる間だけ効果を維持）
エイミ（臨戦）	現場指定スナイパー	スキル発動後すぐにリロード/\n精密照準体勢になり、<s:FormChange>を攻撃力の<?1>分のダメージに強化、敵1人に対して<s:CH0337_Ex>を付与（30秒経過、あるいはノーマルスキルの使用時、精密照準体勢を解除）/\nエイミ（臨戦）は<s:CH0337_Ex>が付与された敵を優先的に攻撃します。
ユズ（臨戦）	ゆ、ユズ、発進！	自身を除く味方1人の<b:CostChange>を最大で50%減少（EXスキルの使用3回分） （ただし減少値は小数点以下切り捨て）/\n効果を保有した対象がEXスキルの使用時、<b:ATK>を<?1>増加（9秒間）
